from_stop_id,to_stop_id,transfer_type,min_transfer_time,min_walk_time,min_wheelchair_time,suggested_buffer_time,wheelchair_transfer,from_trip_id,to_trip_id
121,70085,1,,,,,,63868936-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868936-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868937-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868937-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868938-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868938-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868939-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868939-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868940-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868940-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868941-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868941-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868942-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868942-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868943-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868943-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868944-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868944-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868945-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868945-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868946-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868946-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868947-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868947-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868948-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868948-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868949-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868949-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868950-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868950-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
121,70085,1,,,,,,63868951-JFKParkAshmontPlatformsJFKParkBraintreePlatformsJFKParkAshmontPlatforms,63868951-JFKParkAshmontPlatformsJFKParkBraintreePlatforms2
