trip_id,trip_property_id,value
63163757,note,Waits at Harvard for last Red Line train
63163757,trip_type,wait
63163934,note,Waits at Green St @ Magazine St for last Red Line train
63163934,trip_type,wait
63164095,note,Waits at Harvard for last Red Line train
63164095,trip_type,wait
63164097,note,Waits at Harvard for last Red Line train
63164097,trip_type,wait
63164267,note,Waits at Harvard for last Red Line train
63164267,trip_type,wait
63164389,note,Waits at Lechmere for last Green Line train
63164389,trip_type,wait
63164564,note,Waits at Magazine St @ Green St for last Red Line train
63164564,trip_type,wait
63164598,note,Waits at Western Ave @ Green St for last Red Line train
63164598,trip_type,wait
63164753,note,Waits at Lechmere for last Green Line train
63164753,trip_type,wait
63164804,note,Waits at Lechmere for last Green Line train
63164804,trip_type,wait
63208129,note,Waits at South Station for last Red Line train
63208129,trip_type,wait
63208299,note,Waits at Mattapan for last Mattapan Trolley train
63208299,trip_type,wait
63208302,note,Waits at Ruggles for last Orange Line train
63208302,trip_type,wait
63208305,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
63208305,trip_type,wait
63209019,note,Waits at Back Bay for last Orange Line train
63209019,trip_type,wait
63209188,note,Waits at South Station for last Red Line train
63209188,trip_type,wait
63212506,note,Waits at Orient Heights for last Blue Line train
63212506,trip_type,wait
63212891,note,Waits at Orient Heights for last Blue Line train
63212891,trip_type,wait
63213451,note,Waits at Orient Heights for last Blue Line train
63213451,trip_type,wait
63213452,note,Will go to Point Shirley if requested
63213679,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
63213679,trip_type,wait
63213813,note,Waits at Mattapan for last Mattapan Trolley train
63213813,trip_type,wait
63213832,note,Waits at Ruggles for last Orange Line train
63213832,trip_type,wait
63214063,note,Waits at South Station for last Red Line train
63214063,trip_type,wait
63214368,note,Waits at Back Bay for last Orange Line train
63214368,trip_type,wait
63214583,note,Waits at South Station for last Red Line train
63214583,trip_type,wait
63256615,note,Waits at Malden Center for last Orange Line train
63256615,trip_type,wait
63256673,note,Waits at Harvard for last Red Line train
63256673,trip_type,wait
63256970,note,Waits at Sullivan Square for last Orange Line train
63256970,trip_type,wait
63256971,note,Waits at Sullivan Square for last Orange Line train
63256971,trip_type,wait
63256972,note,Waits at Sullivan Square for last Orange Line train
63256972,trip_type,wait
63257048,note,Waits at Wellington for last Orange Line train
63257048,trip_type,wait
63257049,note,Waits at Wellington for last Orange Line train
63257049,trip_type,wait
63257050,note,Waits at Wellington for last Orange Line train
63257050,trip_type,wait
63257108,note,Waits at Wellington for last Orange Line train
63257108,trip_type,wait
63257512,note,Waits at Surface Rd @ Hanover St for last Orange Line and Green Line trains
63257512,trip_type,wait
63272833,note,Waits at Maverick for last Blue Line train
63272833,trip_type,wait
63272921,note,Waits at Maverick for last Blue Line train
63272921,trip_type,wait
63273010,note,Waits at Wonderland for last Blue Line train
63273010,trip_type,wait
63273332,note,Waits at Maverick for last Blue Line train
63273332,trip_type,wait
63273437,note,Waits at Maverick for last Blue Line train
63273437,trip_type,wait
63273505,note,Waits at Wonderland for last Blue Line train
63273505,trip_type,wait
63283490,note,Waits at State for last Blue Line train
63283490,note,Waits at Downtown Crossing for last Red Line train
63283490,trip_type,wait
63283572,note,Waits at Downtown Crossing for last Red Line train
63283572,trip_type,wait
63283808,note,Waits at State for last Blue Line train
63283808,note,Waits at Downtown Crossing for last Red Line train
63283808,trip_type,wait
63283809,note,Waits at Downtown Crossing for last Red Line train
63283809,trip_type,wait
63288268,note,Waits at some downtown stations for connections
63288268,trip_type,wait
63288279,note,Waits at some downtown stations for connections
63288279,trip_type,wait
63350098,note,Waits at Government Center for last Green Line train
63350098,note,Waits at State for last Orange Line train
63350098,trip_type,wait
63350450,note,Waits at State for last Orange Line train
63350450,trip_type,wait
63350749,note,Waits at State for last Orange Line train
63350749,trip_type,wait
63350770,note,Waits at Government Center for last Green Line train
63350770,note,Waits at State for last Orange Line train
63350770,trip_type,wait
63350986,note,Waits at Government Center for last Green Line train
63350986,note,Waits at State for last Orange Line train
63350986,trip_type,wait
63350989,note,Waits at State for last Orange Line train
63350989,trip_type,wait
63360785,note,Waits at Ashmont for last Red Line train
63360785,note,Waits at Mattapan for last Mattapan Trolley train
63360785,trip_type,wait
63361024,note,Waits at Forest Hills for last Orange Line train
63361024,trip_type,wait
63361515,note,Waits at Ashmont for last Red Line train
63361515,trip_type,wait
63361772,note,Waits at Forest Hills for last Orange Line train
63361772,trip_type,wait
63362262,note,Waits at Forest Hills for last Orange Line train
63362262,trip_type,wait
63362362,note,Waits at Forest Hills for last Orange Line train
63362362,trip_type,wait
63473231,note,Waits at Maverick for last Blue Line train
63473231,trip_type,wait
63473414,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
63473414,trip_type,wait
63473647,note,Waits at Wonderland for last Blue Line train
63473647,trip_type,wait
63473853,note,Waits at Maverick for last Blue Line train
63473853,trip_type,wait
63475267,note,Waits at Maverick for last Blue Line train
63475267,trip_type,wait
63475450,note,Waits at Congress St @ Haymarket Sta for last Orange Line and Green Line trains
63475450,trip_type,wait
63475683,note,Waits at Wonderland for last Blue Line train
63475683,trip_type,wait
63475889,note,Waits at Maverick for last Blue Line train
63475889,trip_type,wait
63480175,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
63480175,trip_type,wait
63480263,note,Waits at Mattapan for last Mattapan Trolley train
63480263,trip_type,wait
63480267,note,Waits at Ruggles for last Orange Line train
63480267,trip_type,wait
63480649,note,Waits at Back Bay for last Orange Line train
63480649,trip_type,wait
63481247,note,Waits at South Station for last Red Line train
63481247,trip_type,wait
63481371,note,Waits at South Station for last Red Line train
63481371,trip_type,wait
63493807,note,Waits at Temple Pl @ Washington St for last Red Line and Orange Line trains
63493807,trip_type,wait
63493885,note,Waits at Mattapan for last Mattapan Trolley train
63493885,trip_type,wait
63493894,note,Waits at Ruggles for last Orange Line train
63493894,trip_type,wait
63494274,note,Waits at Back Bay for last Orange Line train
63494274,trip_type,wait
63494871,note,Waits at South Station for last Red Line train
63494871,trip_type,wait
63495176,note,Waits at South Station for last Red Line train
63495176,trip_type,wait
63813992,note,Waits at some downtown stations for connections
63813992,trip_type,wait
63814098,note,Waits at some downtown stations for connections
63814098,trip_type,wait
