added_route_id,trip_id
742,63494393
743,63494393
741,63494394
742,63494394
743,63494394
741,63494398
742,63494398
743,63494398
741,63494399
742,63494399
743,63494399
741,63494402
742,63494402
743,63494402
741,63494404
742,63494404
743,63494404
741,63494406
742,63494406
743,63494406
741,63494408
742,63494408
743,63494408
741,63494410
742,63494410
743,63494410
741,63494411
742,63494411
743,63494411
741,63494413
742,63494413
743,63494413
741,63494416
742,63494416
743,63494416
741,63494419
742,63494419
743,63494419
741,63494421
742,63494421
743,63494421
741,63494422
742,63494422
743,63494422
741,63494424
742,63494424
743,63494424
741,63494425
742,63494425
743,63494425
741,63494428
742,63494428
743,63494428
741,63494520
742,63494520
743,63494520
741,63494521
742,63494521
743,63494521
741,63494574
742,63494574
743,63494574
741,63494575
742,63494575
743,63494575
741,63494576
742,63494576
743,63494576
741,63494761
742,63494761
743,63494761
741,63494825
742,63494825
743,63494825
741,63494827
742,63494827
743,63494827
741,63494939
742,63494939
743,63494939
741,63494993
742,63494993
743,63494993
741,63494995
742,63494995
743,63494995
741,63495044
742,63495044
743,63495044
741,63495046
742,63495046
743,63495046
741,63495048
742,63495048
743,63495048
741,63495049
742,63495049
743,63495049
741,63495050
742,63495050
743,63495050
741,63495063
742,63495063
743,63495063
741,63495092
742,63495092
743,63495092
741,63495130
742,63495130
743,63495130
741,63495170
742,63495170
743,63495170
741,63495226
742,63495226
743,63495226
741,63495252
742,63495252
743,63495252
741,63495471
742,63495471
743,63495471
741,63495472
742,63495472
743,63495472
741,63495473
742,63495473
743,63495473
741,63495475
742,63495475
743,63495475
741,63495484
742,63495484
743,63495484
741,63495486
742,63495486
743,63495486
741,63495498
742,63495498
743,63495498
741,63495500
742,63495500
743,63495500
741,63495502
742,63495502
743,63495502
741,63495505
742,63495505
743,63495505
89,63092355
93,63092355
89,63096335
93,63096335
89,63092357
93,63092357
89,63256408
93,63256408
CR-Franklin,CR-677158-1808-1
CR-Franklin,CR-677179-1818-1
CR-Franklin,CR-677285-2814-1
CR-Franklin,CR-677161-1807-1
CR-Franklin,CR-677159-1815-1
CR-Franklin,CR-677165-1803-1
CR-Franklin,CR-677293-2804-1
CR-Franklin,CR-677284-2812-1
CR-Franklin,CR-677283-2817-1
CR-Franklin,CR-677278-2813-1
CR-Franklin,CR-677167-1811-1
CR-Franklin,CR-677169-1810-1
CR-Franklin,CR-677280-2815-1
CR-Franklin,CR-677287-2802-1
CR-Franklin,CR-677291-2801-1
CR-Franklin,CR-677163-1804-1
CR-Franklin,CR-677297-2803-1
CR-Franklin,CR-677290-2810-1
CR-Franklin,CR-677289-2800-1
CR-Franklin,CR-677173-1814-1
CR-Franklin,CR-677272-2807-1
CR-Franklin,CR-677157-1817-1
CR-Franklin,CR-677162-1816-1
CR-Franklin,CR-677288-2819-1
CR-Franklin,CR-677294-2818-1
CR-Franklin,CR-677282-2811-1
CR-Franklin,CR-677166-1809-1
CR-Franklin,CR-677164-1805-1
CR-Franklin,CR-677275-2816-1
CR-Franklin,CR-677177-1800-1
CR-Franklin,CR-677160-1819-1
CR-Franklin,CR-677171-1802-1
CR-Franklin,CR-677172-1801-1
CR-Franklin,CR-677180-1812-1
CR-Franklin,CR-677168-1813-1
CR-Franklin,CR-677273-2808-1
CR-Franklin,CR-677174-1806-1
CR-Franklin,CR-677295-2809-1
CR-Franklin,CR-677286-2805-1
CR-Franklin,CR-677292-2806-1
CR-Kingston,CR-670077-031
CR-Needham,CR-670299-841
CR-Franklin,CR-670299-841
CR-Franklin,CR-670291-833
CR-Franklin,CR-670292-834
CR-Franklin,CR-670286-828
CR-Franklin,CR-670330-892
CR-Franklin,CR-670302-862
CR-Franklin,CR-670295-837
CR-Franklin,CR-670298-840
CR-Needham,CR-670297-839
CR-Fairmount,CR-670229-728
CR-Fairmount,CR-670233-732
CR-Fairmount,CR-670235-734
CR-Fairmount,CR-670236-735
CR-Fairmount,CR-670237-740
CR-Fairmount,CR-670238-741
CR-Fairmount,CR-670249-752
CR-Fairmount,CR-670254-757
CR-Fairmount,CR-670255-758
CR-Fairmount,CR-670256-759
CR-Fairmount,CR-670257-760
CR-Fairmount,CR-670331-893
CR-Franklin,CR-677158-1808
CR-Franklin,CR-677179-1818
CR-Franklin,CR-677285-2814
CR-Franklin,CR-677161-1807
CR-Franklin,CR-677159-1815
CR-Franklin,CR-677165-1803
CR-Franklin,CR-677293-2804
CR-Franklin,CR-677284-2812
CR-Franklin,CR-677283-2817
CR-Franklin,CR-677278-2813
CR-Franklin,CR-677167-1811
CR-Franklin,CR-677169-1810
CR-Franklin,CR-677280-2815
CR-Franklin,CR-677287-2802
CR-Franklin,CR-677291-2801
CR-Franklin,CR-677163-1804
CR-Franklin,CR-677297-2803
CR-Franklin,CR-677290-2810
CR-Kingston,CR-665488-2021
CR-Franklin,CR-677289-2800
CR-Franklin,CR-677173-1814
CR-Franklin,CR-677272-2807
CR-Franklin,CR-677157-1817
CR-Kingston,CR-665269-1021
CR-Franklin,CR-677162-1816
CR-Franklin,CR-677288-2819
CR-Franklin,CR-677294-2818
CR-Franklin,CR-677282-2811
CR-Franklin,CR-677166-1809
CR-Franklin,CR-677164-1805
CR-Franklin,CR-677275-2816
CR-Franklin,CR-677177-1800
CR-Franklin,CR-677160-1819
CR-Franklin,CR-677171-1802
CR-Franklin,CR-677172-1801
CR-Franklin,CR-677180-1812
CR-Franklin,CR-677168-1813
CR-Franklin,CR-677273-2808
CR-Franklin,CR-677174-1806
CR-Franklin,CR-677295-2809
CR-Franklin,CR-677286-2805
CR-Franklin,CR-677292-2806
CR-Fairmount,CR-665280-1703
CR-Fairmount,CR-665297-1702
CR-Fairmount,CR-665298-1700
CR-Fairmount,CR-665302-1701
CR-Fairmount,CR-665324-1719
CR-Fairmount,CR-665332-1718
CR-Fairmount,CR-665334-1717
CR-Fairmount,CR-665335-1716
CR-Fairmount,CR-665336-1715
CR-Fairmount,CR-665337-1714
CR-Fairmount,CR-665338-1709
CR-Fairmount,CR-665339-1712
CR-Fairmount,CR-665340-1704
CR-Fairmount,CR-665341-1706
CR-Fairmount,CR-665342-1705
CR-Fairmount,CR-665346-1713
CR-Fairmount,CR-665347-1711
CR-Fairmount,CR-665348-1707
CR-Fairmount,CR-665349-1708
CR-Fairmount,CR-665350-1710
CR-Fairmount,CR-665380-2715
CR-Fairmount,CR-665381-2712
CR-Fairmount,CR-665382-2714
CR-Fairmount,CR-665398-2713
CR-Fairmount,CR-665399-2719
CR-Fairmount,CR-665400-2711
CR-Fairmount,CR-665414-2717
CR-Fairmount,CR-665415-2710
CR-Fairmount,CR-665416-2716
CR-Fairmount,CR-665417-2709
CR-Fairmount,CR-665418-2718
CR-Fairmount,CR-665431-2704
CR-Fairmount,CR-665432-2702
CR-Fairmount,CR-665433-2703
CR-Fairmount,CR-665434-2701
CR-Fairmount,CR-665435-2708
CR-Fairmount,CR-665436-2700
CR-Fairmount,CR-665437-2705
CR-Fairmount,CR-665438-2707
CR-Fairmount,CR-665440-2706
CR-Lowell,CR-676453-204
CR-Lowell,CR-676454-206
CR-Lowell,CR-676455-208
CR-Lowell,CR-676456-210
CR-Lowell,CR-676457-212
CR-Lowell,CR-676459-214
CR-Lowell,CR-676655-216
Green-E,GreenE-Medford-NSta-Saturday-0-05:15:00
Green-E,GreenE-Medford-NSta-Saturday-0-05:22:00
Green-E,GreenE-Medford-NSta-Saturday-0-05:29:00
Green-E,GreenE-Medford-NSta-Saturday-0-05:36:00
Green-E,GreenE-Medford-NSta-Saturday-0-05:43:00
Green-E,GreenE-Medford-NSta-Saturday-0-05:50:00
Green-E,GreenE-Medford-NSta-Saturday-0-05:57:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:00:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:07:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:14:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:21:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:28:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:35:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:42:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:49:00
Green-E,GreenE-Medford-NSta-Saturday-0-06:56:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:00:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:07:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:14:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:21:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:28:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:35:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:42:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:49:00
Green-E,GreenE-Medford-NSta-Saturday-0-07:56:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:00:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:07:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:14:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:21:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:28:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:35:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:42:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:49:00
Green-E,GreenE-Medford-NSta-Saturday-0-08:56:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:00:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:08:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:16:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:24:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:32:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:40:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:48:00
Green-E,GreenE-Medford-NSta-Saturday-0-09:56:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:00:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:08:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:16:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:24:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:32:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:40:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:48:00
Green-E,GreenE-Medford-NSta-Saturday-0-10:56:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:00:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:08:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:16:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:24:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:32:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:40:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:48:00
Green-E,GreenE-Medford-NSta-Saturday-0-11:56:00
Green-E,GreenE-Medford-NSta-Saturday-0-12:04:00
Green-E,GreenE-Medford-NSta-Saturday-0-12:12:00
Green-E,GreenE-Medford-NSta-Saturday-0-12:20:00
Green-E,GreenE-Medford-NSta-Saturday-0-12:28:00
Green-E,GreenE-Medford-NSta-Saturday-0-12:36:00
Green-E,GreenE-Medford-NSta-Saturday-0-12:44:00
Green-E,GreenE-Medford-NSta-Saturday-0-12:52:00
Green-E,GreenE-Medford-NSta-Saturday-0-13:00:00
Green-E,GreenE-Medford-NSta-Saturday-0-13:08:00
Green-E,GreenE-Medford-NSta-Saturday-0-13:16:00
Green-E,GreenE-Medford-NSta-Saturday-0-13:24:00
Green-E,GreenE-Medford-NSta-Saturday-0-13:32:00
Green-E,GreenE-Medford-NSta-Saturday-0-13:40:00
